option_id,selection,connections,origin,destination,reachable,distance_miles,travel_days,freight_gp_per_100_lb,leg_count,uses_inferred,path,leg_modes,leg_connections
OPT-0012,Fastest; Lowest freight; Land only,0,Amphail,Red Larch,True,47.614476,1.803579,0.31036,1,False,Amphail -> Red Larch,road,The Long Road
OPT-0013,Fastest,4,Amphail,Ruathym,True,765.657277,12.139525,1.97627,5,False,Amphail -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,road -> sea -> sea -> sea -> sea,The Long Road -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0014,Lowest freight,2,Amphail,Ruathym,True,740.863524,12.165564,1.915477,3,False,Amphail -> Waterdeep -> Neverwinter -> Ruathym,road -> sea -> sea,The Long Road -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0015,Fastest; Lowest freight; Land only,1,Amphail,Secomber,True,337.72106,15.556092,2.613949,2,False,Amphail -> Waterdeep -> Secomber,road -> road,The Long Road -> The Delimbiyr Route
OPT-0016,Fastest; Lowest freight; Land only,0,Amphail,Waterdeep,True,89.657842,3.39613,0.547728,1,False,Amphail -> Waterdeep,road,The Long Road
OPT-0017,Fastest; Lowest freight,1,Baldur's Gate,Amphail,True,556.325797,8.79738,1.33278,2,False,Baldur's Gate -> Waterdeep -> Amphail,sea -> road,The Sword Coast Run -> The Long Road
OPT-0018,Land only,2,Baldur's Gate,Amphail,True,734.04424,24.049541,4.075098,3,False,Baldur's Gate -> Daggerford -> Waterdeep -> Amphail,road -> road -> road,The Trade Way -> The Trade Way -> The Long Road
OPT-0019,Fastest; Lowest freight; Water only,1,Baldur's Gate,Caer Calidyrr,True,469.016628,6.629769,1.040762,2,False,Baldur's Gate -> Mintarn -> Caer Calidyrr,sea -> sea,The Nelanther Passage -> Sea of Swords coasting run
OPT-0020,Fastest; Lowest freight,1,Baldur's Gate,Daggerford,True,595.07237,9.516776,1.466583,2,False,Baldur's Gate -> Waterdeep -> Daggerford,sea -> road,The Sword Coast Run -> The Trade Way
OPT-0021,Land only,0,Baldur's Gate,Daggerford,True,515.981982,16.537884,2.845839,1,False,Baldur's Gate -> Daggerford,road,The Trade Way
OPT-0022,Fastest; Lowest freight,2,Baldur's Gate,Goldenfields,True,607.5901,11.310336,1.743498,3,False,Baldur's Gate -> Waterdeep -> Amphail -> Goldenfields,sea -> road -> road,The Sword Coast Run -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0023,Land only,3,Baldur's Gate,Goldenfields,True,785.308543,26.562497,4.485816,4,False,Baldur's Gate -> Daggerford -> Waterdeep -> Amphail -> Goldenfields,road -> road -> road -> road,The Trade Way -> The Trade Way -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0024,Fastest; Lowest freight,2,Baldur's Gate,Leilon,True,803.877902,11.275603,1.72613,3,False,Baldur's Gate -> Waterdeep -> Neverwinter -> Leilon,sea -> sea -> road,The Sword Coast Run -> The Sword Coast Run -> The High Road
OPT-0025,Land only,2,Baldur's Gate,Leilon,True,876.602874,28.393959,4.825925,3,False,Baldur's Gate -> Daggerford -> Waterdeep -> Leilon,road -> road -> road,The Trade Way -> The Trade Way -> The High Road
OPT-0026,Fastest; Lowest freight; Water only,0,Baldur's Gate,Mintarn,True,310.809138,4.316794,0.680299,1,False,Baldur's Gate -> Mintarn,sea,The Nelanther Passage
OPT-0027,Fastest; Lowest freight; Water only,1,Baldur's Gate,Neverwinter,True,713.274625,8.255493,1.199906,2,False,Baldur's Gate -> Waterdeep -> Neverwinter,sea -> sea,The Sword Coast Run -> The Sword Coast Run
OPT-0028,Land only,3,Baldur's Gate,Neverwinter,True,967.20615,31.414069,5.352149,4,False,Baldur's Gate -> Daggerford -> Waterdeep -> Leilon -> Neverwinter,road -> road -> road -> road,The Trade Way -> The Trade Way -> The High Road -> The High Road
OPT-0029,Fastest; Lowest freight; Water only,0,Baldur's Gate,Orlumbor,True,203.807802,2.979646,0.459147,1,False,Baldur's Gate -> Orlumbor,sea,Sea of Swords coasting run
OPT-0030,Fastest; Lowest freight,1,Baldur's Gate,Red Larch,True,575.826784,9.339158,1.472666,2,False,Baldur's Gate -> Waterdeep -> Red Larch,sea -> river+road,The Sword Coast Run -> The Dessarin
OPT-0031,Land only,3,Baldur's Gate,Red Larch,True,781.658717,25.853119,4.385458,4,False,Baldur's Gate -> Daggerford -> Waterdeep -> Amphail -> Red Larch,road -> road -> road -> road,The Trade Way -> The Trade Way -> The Long Road -> The Long Road
OPT-0032,Fastest; Water only,4,Baldur's Gate,Ruathym,True,1142.667389,14.144644,2.213595,5,False,Baldur's Gate -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,sea -> sea -> sea -> sea -> sea,The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0033,Lowest freight,2,Baldur's Gate,Ruathym,True,1117.873637,14.170684,2.152801,3,False,Baldur's Gate -> Waterdeep -> Neverwinter -> Ruathym,sea -> sea -> sea,The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0034,Fastest; Lowest freight,1,Baldur's Gate,Secomber,True,714.731173,17.561211,2.851273,2,False,Baldur's Gate -> Waterdeep -> Secomber,sea -> road,The Sword Coast Run -> The Delimbiyr Route
OPT-0035,Land only,2,Baldur's Gate,Secomber,True,892.449616,32.813372,5.593591,3,False,Baldur's Gate -> Daggerford -> Waterdeep -> Secomber,road -> road -> road,The Trade Way -> The Trade Way -> The Delimbiyr Route
OPT-0036,Fastest; Lowest freight; Water only,0,Baldur's Gate,Waterdeep,True,466.667955,5.401249,0.785052,1,False,Baldur's Gate -> Waterdeep,sea,The Sword Coast Run
OPT-0037,Land only,1,Baldur's Gate,Waterdeep,True,644.386398,20.65341,3.52737,2,False,Baldur's Gate -> Daggerford -> Waterdeep,road -> road,The Trade Way -> The Trade Way
OPT-0038,Fastest; Lowest freight,2,Caer Calidyrr,Amphail,True,617.115519,11.1075,1.730609,3,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Amphail,sea -> sea -> road,Sea of Swords coasting run -> Sea of Swords coasting run -> The Long Road
OPT-0039,Fastest; Lowest freight; Water only,1,Caer Calidyrr,Baldur's Gate,True,469.016628,6.629769,1.040762,2,False,Caer Calidyrr -> Mintarn -> Baldur's Gate,sea -> sea,Sea of Swords coasting run -> The Nelanther Passage
OPT-0040,Fastest; Lowest freight,2,Caer Calidyrr,Daggerford,True,655.862092,11.826896,1.864412,3,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Daggerford,sea -> sea -> road,Sea of Swords coasting run -> Sea of Swords coasting run -> The Trade Way
OPT-0041,Fastest; Lowest freight,3,Caer Calidyrr,Goldenfields,True,668.379822,13.620456,2.141326,4,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Amphail -> Goldenfields,sea -> sea -> road -> road,Sea of Swords coasting run -> Sea of Swords coasting run -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0042,Fastest; Lowest freight,3,Caer Calidyrr,Leilon,True,864.667623,13.585723,2.123959,4,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Neverwinter -> Leilon,sea -> sea -> sea -> road,Sea of Swords coasting run -> Sea of Swords coasting run -> The Sword Coast Run -> The High Road
OPT-0043,Fastest; Lowest freight; Water only,0,Caer Calidyrr,Mintarn,True,158.20749,2.312975,0.360463,1,False,Caer Calidyrr -> Mintarn,sea,Sea of Swords coasting run
OPT-0044,Fastest; Lowest freight; Water only,2,Caer Calidyrr,Neverwinter,True,774.064347,10.565613,1.597735,3,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Neverwinter,sea -> sea -> sea,Sea of Swords coasting run -> Sea of Swords coasting run -> The Sword Coast Run
OPT-0045,Fastest; Lowest freight; Water only,1,Caer Calidyrr,Orlumbor,True,368.309228,5.231055,0.830545,2,False,Caer Calidyrr -> Mintarn -> Orlumbor,sea -> sea,Sea of Swords coasting run -> The Nelanther Passage
OPT-0046,Fastest; Lowest freight,2,Caer Calidyrr,Red Larch,True,636.616506,11.649278,1.870495,3,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Red Larch,sea -> sea -> river+road,Sea of Swords coasting run -> Sea of Swords coasting run -> The Dessarin
OPT-0047,Fastest; Water only,5,Caer Calidyrr,Ruathym,True,1203.457111,16.454764,2.611423,6,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,sea -> sea -> sea -> sea -> sea -> sea,Sea of Swords coasting run -> Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0048,Lowest freight,3,Caer Calidyrr,Ruathym,True,1178.663359,16.480804,2.550629,4,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Neverwinter -> Ruathym,sea -> sea -> sea -> sea,Sea of Swords coasting run -> Sea of Swords coasting run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0049,Fastest; Lowest freight,2,Caer Calidyrr,Secomber,True,775.520894,19.871331,3.249101,3,False,Caer Calidyrr -> Mintarn -> Waterdeep -> Secomber,sea -> sea -> road,Sea of Swords coasting run -> Sea of Swords coasting run -> The Delimbiyr Route
OPT-0050,Fastest; Lowest freight; Water only,1,Caer Calidyrr,Waterdeep,True,527.457677,7.71137,1.182881,2,False,Caer Calidyrr -> Mintarn -> Waterdeep,sea -> sea,Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0051,Fastest; Lowest freight; Land only,1,Daggerford,Amphail,True,218.062258,7.511657,1.229259,2,False,Daggerford -> Waterdeep -> Amphail,road -> road,The Trade Way -> The Long Road
OPT-0052,Fastest; Lowest freight,1,Daggerford,Baldur's Gate,True,595.07237,9.516776,1.466583,2,False,Daggerford -> Waterdeep -> Baldur's Gate,road -> sea,The Trade Way -> The Sword Coast Run
OPT-0053,Land only,0,Daggerford,Baldur's Gate,True,515.981982,16.537884,2.845839,1,False,Daggerford -> Baldur's Gate,road,The Trade Way
OPT-0054,Fastest; Lowest freight,2,Daggerford,Caer Calidyrr,True,655.862092,11.826896,1.864412,3,False,Daggerford -> Waterdeep -> Mintarn -> Caer Calidyrr,road -> sea -> sea,The Trade Way -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0055,Fastest; Lowest freight; Land only,2,Daggerford,Goldenfields,True,269.326561,10.024613,1.639977,3,False,Daggerford -> Waterdeep -> Amphail -> Goldenfields,road -> road -> road,The Trade Way -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0056,Fastest; Lowest freight,2,Daggerford,Leilon,True,465.614362,9.989879,1.622609,3,False,Daggerford -> Waterdeep -> Neverwinter -> Leilon,road -> sea -> road,The Trade Way -> The Sword Coast Run -> The High Road
OPT-0057,Land only,1,Daggerford,Leilon,True,360.620892,11.856075,1.980086,2,False,Daggerford -> Waterdeep -> Leilon,road -> road,The Trade Way -> The High Road
OPT-0058,Fastest; Lowest freight,1,Daggerford,Mintarn,True,497.654602,9.513921,1.503948,2,False,Daggerford -> Waterdeep -> Mintarn,road -> sea,The Trade Way -> Sea of Swords coasting run
OPT-0059,Fastest; Lowest freight,1,Daggerford,Neverwinter,True,375.011086,6.96977,1.096385,2,False,Daggerford -> Waterdeep -> Neverwinter,road -> sea,The Trade Way -> The Sword Coast Run
OPT-0060,Land only,2,Daggerford,Neverwinter,True,451.224168,14.876185,2.506309,3,False,Daggerford -> Waterdeep -> Leilon -> Neverwinter,road -> road -> road,The Trade Way -> The High Road -> The High Road
OPT-0061,Fastest; Lowest freight,1,Daggerford,Orlumbor,True,396.74584,7.84249,1.236273,2,False,Daggerford -> Waterdeep -> Orlumbor,road -> sea,The Trade Way -> The Nelanther Passage
OPT-0062,Fastest; Lowest freight,1,Daggerford,Red Larch,True,237.563245,8.053435,1.369145,2,False,Daggerford -> Waterdeep -> Red Larch,road -> river+road,The Trade Way -> The Dessarin
OPT-0063,Land only,2,Daggerford,Red Larch,True,265.676734,9.315235,1.539619,3,False,Daggerford -> Waterdeep -> Amphail -> Red Larch,road -> road -> road,The Trade Way -> The Long Road -> The Long Road
OPT-0064,Fastest,4,Daggerford,Ruathym,True,804.40385,12.858921,2.110074,5,False,Daggerford -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,road -> sea -> sea -> sea -> sea,The Trade Way -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0065,Lowest freight,2,Daggerford,Ruathym,True,779.610097,12.88496,2.04928,3,False,Daggerford -> Waterdeep -> Neverwinter -> Ruathym,road -> sea -> sea,The Trade Way -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0066,Fastest; Lowest freight,0,Daggerford,Secomber,True,161.176084,10.406514,2.058022,1,False,Daggerford -> Secomber,river+portage,The Delimbiyr
OPT-0067,Land only,1,Daggerford,Secomber,True,376.467633,16.275488,2.747752,2,False,Daggerford -> Waterdeep -> Secomber,road -> road,The Trade Way -> The Delimbiyr Route
OPT-0068,Fastest; Lowest freight; Land only,0,Daggerford,Waterdeep,True,128.404415,4.115526,0.681531,1,False,Daggerford -> Waterdeep,road,The Trade Way
OPT-0069,Fastest; Lowest freight; Land only,0,Goldenfields,Amphail,True,51.264303,2.512956,0.410718,1,False,Goldenfields -> Amphail,road,Long Road: Mirabar to Waterdeep
OPT-0070,Fastest; Lowest freight,2,Goldenfields,Baldur's Gate,True,607.5901,11.310336,1.743498,3,False,Goldenfields -> Amphail -> Waterdeep -> Baldur's Gate,road -> road -> sea,Long Road: Mirabar to Waterdeep -> The Long Road -> The Sword Coast Run
OPT-0071,Land only,3,Goldenfields,Baldur's Gate,True,785.308543,26.562497,4.485816,4,False,Goldenfields -> Amphail -> Waterdeep -> Daggerford -> Baldur's Gate,road -> road -> road -> road,Long Road: Mirabar to Waterdeep -> The Long Road -> The Trade Way -> The Trade Way
OPT-0072,Fastest; Lowest freight,3,Goldenfields,Caer Calidyrr,True,668.379822,13.620456,2.141326,4,False,Goldenfields -> Amphail -> Waterdeep -> Mintarn -> Caer Calidyrr,road -> road -> sea -> sea,Long Road: Mirabar to Waterdeep -> The Long Road -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0073,Fastest; Lowest freight; Land only,2,Goldenfields,Daggerford,True,269.326561,10.024613,1.639977,3,False,Goldenfields -> Amphail -> Waterdeep -> Daggerford,road -> road -> road,Long Road: Mirabar to Waterdeep -> The Long Road -> The Trade Way
OPT-0074,Fastest; Lowest freight,3,Goldenfields,Leilon,True,478.132092,11.783439,1.899523,4,False,Goldenfields -> Amphail -> Waterdeep -> Neverwinter -> Leilon,road -> road -> sea -> road,Long Road: Mirabar to Waterdeep -> The Long Road -> The Sword Coast Run -> The High Road
OPT-0075,Land only,2,Goldenfields,Leilon,True,373.138621,13.649636,2.257,3,False,Goldenfields -> Amphail -> Waterdeep -> Leilon,road -> road -> road,Long Road: Mirabar to Waterdeep -> The Long Road -> The High Road
OPT-0076,Fastest; Lowest freight,2,Goldenfields,Mintarn,True,510.172331,11.307481,1.780863,3,False,Goldenfields -> Amphail -> Waterdeep -> Mintarn,road -> road -> sea,Long Road: Mirabar to Waterdeep -> The Long Road -> Sea of Swords coasting run
OPT-0077,Fastest; Lowest freight,2,Goldenfields,Neverwinter,True,387.528816,8.76333,1.3733,3,False,Goldenfields -> Amphail -> Waterdeep -> Neverwinter,road -> road -> sea,Long Road: Mirabar to Waterdeep -> The Long Road -> The Sword Coast Run
OPT-0078,Land only,3,Goldenfields,Neverwinter,True,463.741898,16.669745,2.783224,4,False,Goldenfields -> Amphail -> Waterdeep -> Leilon -> Neverwinter,road -> road -> road -> road,Long Road: Mirabar to Waterdeep -> The Long Road -> The High Road -> The High Road
OPT-0079,Fastest; Lowest freight,2,Goldenfields,Orlumbor,True,409.26357,9.636051,1.513188,3,False,Goldenfields -> Amphail -> Waterdeep -> Orlumbor,road -> road -> sea,Long Road: Mirabar to Waterdeep -> The Long Road -> The Nelanther Passage
OPT-0080,Fastest; Lowest freight; Land only,0,Goldenfields,Red Larch,True,52.719778,2.584303,0.439125,1,False,Goldenfields -> Red Larch,road,Long Road: Mirabar to Waterdeep
OPT-0081,Fastest,5,Goldenfields,Ruathym,True,816.92158,14.652481,2.386988,6,False,Goldenfields -> Amphail -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,road -> road -> sea -> sea -> sea -> sea,Long Road: Mirabar to Waterdeep -> The Long Road -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0082,Lowest freight,3,Goldenfields,Ruathym,True,792.127827,14.678521,2.326194,4,False,Goldenfields -> Amphail -> Waterdeep -> Neverwinter -> Ruathym,road -> road -> sea -> sea,Long Road: Mirabar to Waterdeep -> The Long Road -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0083,Fastest; Lowest freight; Land only,0,Goldenfields,Secomber,True,198.928872,14.957058,2.778553,1,False,Goldenfields -> Secomber,trail,Red Larch and Goldenfields branch toward Secomber
OPT-0084,Fastest; Lowest freight; Land only,1,Goldenfields,Waterdeep,True,140.922145,5.909086,0.958445,2,False,Goldenfields -> Amphail -> Waterdeep,road -> road,Long Road: Mirabar to Waterdeep -> The Long Road
OPT-0085,Fastest; Lowest freight,2,Leilon,Amphail,True,426.867789,9.270483,1.488806,3,False,Leilon -> Neverwinter -> Waterdeep -> Amphail,road -> sea -> road,The High Road -> The Sword Coast Run -> The Long Road
OPT-0086,Land only,1,Leilon,Amphail,True,321.874319,11.13668,1.846282,2,False,Leilon -> Waterdeep -> Amphail,road -> road,The High Road -> The Long Road
OPT-0087,Fastest; Lowest freight,2,Leilon,Baldur's Gate,True,803.877902,11.275603,1.72613,3,False,Leilon -> Neverwinter -> Waterdeep -> Baldur's Gate,road -> sea -> sea,The High Road -> The Sword Coast Run -> The Sword Coast Run
OPT-0088,Land only,2,Leilon,Baldur's Gate,True,876.602874,28.393959,4.825925,3,False,Leilon -> Waterdeep -> Daggerford -> Baldur's Gate,road -> road -> road,The High Road -> The Trade Way -> The Trade Way
OPT-0089,Fastest; Lowest freight,3,Leilon,Caer Calidyrr,True,864.667623,13.585723,2.123959,4,False,Leilon -> Neverwinter -> Waterdeep -> Mintarn -> Caer Calidyrr,road -> sea -> sea -> sea,The High Road -> The Sword Coast Run -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0090,Fastest; Lowest freight,2,Leilon,Daggerford,True,465.614362,9.989879,1.622609,3,False,Leilon -> Neverwinter -> Waterdeep -> Daggerford,road -> sea -> road,The High Road -> The Sword Coast Run -> The Trade Way
OPT-0091,Land only,1,Leilon,Daggerford,True,360.620892,11.856075,1.980086,2,False,Leilon -> Waterdeep -> Daggerford,road -> road,The High Road -> The Trade Way
OPT-0092,Fastest; Lowest freight,3,Leilon,Goldenfields,True,478.132092,11.783439,1.899523,4,False,Leilon -> Neverwinter -> Waterdeep -> Amphail -> Goldenfields,road -> sea -> road -> road,The High Road -> The Sword Coast Run -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0093,Land only,2,Leilon,Goldenfields,True,373.138621,13.649636,2.257,3,False,Leilon -> Waterdeep -> Amphail -> Goldenfields,road -> road -> road,The High Road -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0094,Fastest; Lowest freight,2,Leilon,Mintarn,True,706.460133,11.272748,1.763495,3,False,Leilon -> Neverwinter -> Waterdeep -> Mintarn,road -> sea -> sea,The High Road -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0095,Fastest; Lowest freight; Land only,0,Leilon,Neverwinter,True,90.603276,3.020109,0.526224,1,False,Leilon -> Neverwinter,road,The High Road
OPT-0096,Fastest; Lowest freight,2,Leilon,Orlumbor,True,605.551371,9.601317,1.49582,3,False,Leilon -> Neverwinter -> Waterdeep -> Orlumbor,road -> sea -> sea,The High Road -> The Sword Coast Run -> The Nelanther Passage
OPT-0097,Fastest; Lowest freight,2,Leilon,Red Larch,True,446.368776,9.812262,1.628692,3,False,Leilon -> Neverwinter -> Waterdeep -> Red Larch,road -> sea -> river+road,The High Road -> The Sword Coast Run -> The Dessarin
OPT-0098,Land only,1,Leilon,Red Larch,True,172.355598,12.745233,2.750355,2,True,Leilon -> Phandalin -> Red Larch,track -> track,caravan track -> caravan track
OPT-0099,Fastest,3,Leilon,Ruathym,True,519.99604,8.90926,1.539912,4,False,Leilon -> Neverwinter -> Port Llast -> Luskan -> Ruathym,road -> sea -> sea -> sea,The High Road -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0100,Lowest freight,1,Leilon,Ruathym,True,495.202288,8.935299,1.479118,2,False,Leilon -> Neverwinter -> Ruathym,road -> sea,The High Road -> Sea of Swords coasting run
OPT-0101,Fastest; Lowest freight,2,Leilon,Secomber,True,585.273165,18.034315,3.007299,3,False,Leilon -> Neverwinter -> Waterdeep -> Secomber,road -> sea -> road,The High Road -> The Sword Coast Run -> The Delimbiyr Route
OPT-0102,Land only,1,Leilon,Secomber,True,480.279694,19.900511,3.364775,2,False,Leilon -> Waterdeep -> Secomber,road -> road,The High Road -> The Delimbiyr Route
OPT-0103,Fastest; Lowest freight,1,Leilon,Waterdeep,True,337.209947,5.874353,0.941078,2,False,Leilon -> Neverwinter -> Waterdeep,road -> sea,The High Road -> The Sword Coast Run
OPT-0104,Land only,0,Leilon,Waterdeep,True,232.216476,7.740549,1.298555,1,False,Leilon -> Waterdeep,road,The High Road
OPT-0105,Fastest; Lowest freight,1,Mintarn,Amphail,True,458.908029,8.794525,1.370145,2,False,Mintarn -> Waterdeep -> Amphail,sea -> road,Sea of Swords coasting run -> The Long Road
OPT-0106,Fastest; Lowest freight; Water only,0,Mintarn,Baldur's Gate,True,310.809138,4.316794,0.680299,1,False,Mintarn -> Baldur's Gate,sea,The Nelanther Passage
OPT-0107,Fastest; Lowest freight; Water only,0,Mintarn,Caer Calidyrr,True,158.20749,2.312975,0.360463,1,False,Mintarn -> Caer Calidyrr,sea,Sea of Swords coasting run
OPT-0108,Fastest; Lowest freight,1,Mintarn,Daggerford,True,497.654602,9.513921,1.503948,2,False,Mintarn -> Waterdeep -> Daggerford,sea -> road,Sea of Swords coasting run -> The Trade Way
OPT-0109,Fastest; Lowest freight,2,Mintarn,Goldenfields,True,510.172331,11.307481,1.780863,3,False,Mintarn -> Waterdeep -> Amphail -> Goldenfields,sea -> road -> road,Sea of Swords coasting run -> The Long Road -> Long Road: Mirabar to Waterdeep
OPT-0110,Fastest; Lowest freight,2,Mintarn,Leilon,True,706.460133,11.272748,1.763495,3,False,Mintarn -> Waterdeep -> Neverwinter -> Leilon,sea -> sea -> road,Sea of Swords coasting run -> The Sword Coast Run -> The High Road
OPT-0111,Fastest; Lowest freight; Water only,1,Mintarn,Neverwinter,True,615.856857,8.252638,1.237271,2,False,Mintarn -> Waterdeep -> Neverwinter,sea -> sea,Sea of Swords coasting run -> The Sword Coast Run
OPT-0112,Fastest; Lowest freight; Water only,0,Mintarn,Orlumbor,True,210.101737,2.91808,0.470082,1,False,Mintarn -> Orlumbor,sea,The Nelanther Passage
OPT-0113,Fastest; Lowest freight,1,Mintarn,Red Larch,True,478.409015,9.336303,1.510031,2,False,Mintarn -> Waterdeep -> Red Larch,sea -> river+road,Sea of Swords coasting run -> The Dessarin
OPT-0114,Fastest; Water only,4,Mintarn,Ruathym,True,1045.249621,14.141789,2.25096,5,False,Mintarn -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,sea -> sea -> sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0115,Lowest freight,2,Mintarn,Ruathym,True,1020.455868,14.167829,2.190166,3,False,Mintarn -> Waterdeep -> Neverwinter -> Ruathym,sea -> sea -> sea,Sea of Swords coasting run -> The Sword Coast Run -> Sea of Swords coasting run
OPT-0116,Fastest; Lowest freight,1,Mintarn,Secomber,True,617.313404,17.558356,2.888638,2,False,Mintarn -> Waterdeep -> Secomber,sea -> road,Sea of Swords coasting run -> The Delimbiyr Route
OPT-0117,Fastest; Lowest freight; Water only,0,Mintarn,Waterdeep,True,369.250186,5.398395,0.822417,1,False,Mintarn -> Waterdeep,sea,Sea of Swords coasting run
OPT-0118,Fastest; Lowest freight,1,Neverwinter,Amphail,True,336.264513,6.250374,0.962582,2,False,Neverwinter -> Waterdeep -> Amphail,sea -> road,The Sword Coast Run -> The Long Road
OPT-0119,Land only,2,Neverwinter,Amphail,True,412.477595,14.156789,2.372506,3,False,Neverwinter -> Leilon -> Waterdeep -> Amphail,road -> road -> road,The High Road -> The High Road -> The Long Road
OPT-0120,Fastest; Lowest freight; Water only,1,Neverwinter,Baldur's Gate,True,713.274625,8.255493,1.199906,2,False,Neverwinter -> Waterdeep -> Baldur's Gate,sea -> sea,The Sword Coast Run -> The Sword Coast Run
OPT-0121,Land only,3,Neverwinter,Baldur's Gate,True,967.20615,31.414069,5.352149,4,False,Neverwinter -> Leilon -> Waterdeep -> Daggerford -> Baldur's Gate,road -> road -> road -> road,The High Road -> The High Road -> The Trade Way -> The Trade Way
