leg_id,origin,destination,connection,edge_mode,carrier_mode,carrier,inferred,mixed_edge_component,distance_miles,max_load_lb,speed_miles_per_day,travel_days,full_load_base_cost_gp,base_cost_gp_per_ton_mile
LEG-000009,Akanax,Soorenar,Soorenar to Akanax trail,trail,trail,Pack pony string,False,False,111.900517,1200,14.0,8.01,14.21,0.212
LEG-000009,Akanax,Soorenar,Soorenar to Akanax trail,trail,trail,Mule train,False,False,111.900517,2400,13.3,8.41,26.93,0.201
LEG-000009,Akanax,Soorenar,Soorenar to Akanax trail,trail,trail,Porter company,False,False,111.900517,1000,10.4,10.79,14.96,0.267
LEG-000010,Alaghôn,Airspur,Sea of Fallen Stars coasting run,sea,sea,Coasting cog,False,False,292.424486,100000,60.2,4.86,598.39,0.041
LEG-000010,Alaghôn,Airspur,Sea of Fallen Stars coasting run,sea,sea,Merchant caravel,False,False,292.424486,180000,71.8,4.07,997.32,0.038
LEG-000010,Alaghôn,Airspur,Sea of Fallen Stars coasting run,sea,sea,Deep-water galleon,False,False,292.424486,400000,65.0,4.5,1905.99,0.033
LEG-000011,Alaghôn,Arrabar,The Vilhon Passage,sea,sea,Coasting cog,False,False,327.863203,100000,66.5,4.93,607.02,0.037
LEG-000011,Alaghôn,Arrabar,The Vilhon Passage,sea,sea,Merchant caravel,False,False,327.863203,180000,79.4,4.13,1011.69,0.034
LEG-000011,Alaghôn,Arrabar,The Vilhon Passage,sea,sea,Deep-water galleon,False,False,327.863203,400000,71.8,4.57,1933.46,0.029
LEG-000012,Alaghôn,Hlath,caravan track,track,track,Camel caravan,True,False,186.007124,3000,14.5,12.84,62.42,0.224
LEG-000012,Alaghôn,Hlath,caravan track,track,track,Mule caravan,True,False,186.007124,2400,12.6,14.76,55.48,0.249
LEG-000012,Alaghôn,Hlath,caravan track,track,track,Ox caravan,True,False,186.007124,5000,8.8,21.09,94.78,0.204
LEG-000013,Alaghôn,Ironfang,local market trail,trail,trail,Pack pony string,True,False,130.979846,1200,13.0,10.1,17.92,0.228
LEG-000013,Alaghôn,Ironfang,local market trail,trail,trail,Mule train,True,False,130.979846,2400,12.3,10.61,33.95,0.216
LEG-000013,Alaghôn,Ironfang,local market trail,trail,trail,Porter company,True,False,130.979846,1000,9.6,13.6,18.86,0.288
LEG-000014,Alaghôn,Morningstar Hollows,Alaghon through Turmish to Hlondeth,road,road,Ox freight wagon,False,False,41.179555,6000,14.7,2.8,14.3,0.116
LEG-000014,Alaghôn,Morningstar Hollows,Alaghon through Turmish to Hlondeth,road,road,Horse freight wagon,False,False,41.179555,4000,20.4,2.02,11.63,0.141
LEG-000014,Alaghôn,Morningstar Hollows,Alaghon through Turmish to Hlondeth,road,road,Mule cart,False,False,41.179555,2000,18.4,2.24,5.12,0.124
LEG-000015,Alaghôn,Procampur,Sea of Fallen Stars coasting run,sea,sea,Coasting cog,False,False,353.380036,100000,60.2,5.87,723.13,0.041
LEG-000015,Alaghôn,Procampur,Sea of Fallen Stars coasting run,sea,sea,Merchant caravel,False,False,353.380036,180000,71.8,4.92,1205.21,0.038
LEG-000015,Alaghôn,Procampur,Sea of Fallen Stars coasting run,sea,sea,Deep-water galleon,False,False,353.380036,400000,65.0,5.44,2303.29,0.033
LEG-000016,Alaghôn,Selgaunt,Sea of Fallen Stars coasting run,sea,sea,Coasting cog,False,False,362.070725,100000,60.2,6.02,740.91,0.041
LEG-000016,Alaghôn,Selgaunt,Sea of Fallen Stars coasting run,sea,sea,Merchant caravel,False,False,362.070725,180000,71.8,5.04,1234.85,0.038
LEG-000016,Alaghôn,Selgaunt,Sea of Fallen Stars coasting run,sea,sea,Deep-water galleon,False,False,362.070725,400000,65.0,5.57,2359.94,0.033
LEG-000017,Alaghôn,Westgate,The Vilhon Passage,sea,sea,Coasting cog,False,False,454.087789,100000,66.5,6.83,840.71,0.037
LEG-000017,Alaghôn,Westgate,The Vilhon Passage,sea,sea,Merchant caravel,False,False,454.087789,180000,79.4,5.72,1401.19,0.034
LEG-000017,Alaghôn,Westgate,The Vilhon Passage,sea,sea,Deep-water galleon,False,False,454.087789,400000,71.8,6.32,2677.82,0.029
LEG-000018,Almorel,Delhumide,local market trail,trail,trail,Pack pony string,True,False,265.438675,1200,13.0,20.47,36.31,0.228
LEG-000018,Almorel,Delhumide,local market trail,trail,trail,Mule train,True,False,265.438675,2400,12.3,21.49,68.8,0.216
LEG-000018,Almorel,Delhumide,local market trail,trail,trail,Porter company,True,False,265.438675,1000,9.6,27.56,38.22,0.288
LEG-000019,Almraiven,Calimport,The Shining Sea Run,sea,sea,Coasting cog,False,False,387.343943,100000,63.4,6.11,753.0,0.039
LEG-000019,Almraiven,Calimport,The Shining Sea Run,sea,sea,Merchant caravel,False,False,387.343943,180000,75.6,5.12,1254.99,0.036
LEG-000019,Almraiven,Calimport,The Shining Sea Run,sea,sea,Deep-water galleon,False,False,387.343943,400000,68.4,5.66,2398.43,0.031
LEG-000020,Almraiven,Memnon,The Shining Sea Run,sea,sea,Coasting cog,False,False,456.640712,100000,63.4,7.21,887.71,0.039
LEG-000020,Almraiven,Memnon,The Shining Sea Run,sea,sea,Merchant caravel,False,False,456.640712,180000,75.6,6.04,1479.52,0.036
LEG-000020,Almraiven,Memnon,The Shining Sea Run,sea,sea,Deep-water galleon,False,False,456.640712,400000,68.4,6.68,2827.52,0.031
LEG-000021,Almraiven,Schamedar,Manshaka through Schamedar toward Almraiven,trail,trail,Pack pony string,False,False,247.80292,1200,14.0,17.74,31.48,0.212
LEG-000021,Almraiven,Schamedar,Manshaka through Schamedar toward Almraiven,trail,trail,Mule train,False,False,247.80292,2400,13.3,18.63,59.64,0.201
LEG-000021,Almraiven,Schamedar,Manshaka through Schamedar toward Almraiven,trail,trail,Porter company,False,False,247.80292,1000,10.4,23.89,33.13,0.267
LEG-000022,Almraiven,Suldolphor,Chult-Tashalar Coastal Run,sea,sea,Sword Coast Coasters,False,False,196.914626,100000,66.5,2.96,364.57,0.037
LEG-000022,Almraiven,Suldolphor,Chult-Tashalar Coastal Run,sea,sea,Merchant caravel,False,False,196.914626,180000,79.4,2.48,607.62,0.034
LEG-000022,Almraiven,Suldolphor,Chult-Tashalar Coastal Run,sea,sea,Deep-water galleon,False,False,196.914626,400000,71.8,2.74,1161.23,0.029
LEG-000023,Almraiven,Tashluta,Chult-Tashalar Coastal Run,sea,sea,Sword Coast Coasters,False,False,428.736119,100000,66.5,6.44,793.77,0.037
LEG-000023,Almraiven,Tashluta,Chult-Tashalar Coastal Run,sea,sea,Merchant caravel,False,False,428.736119,180000,79.4,5.4,1322.96,0.034
LEG-000023,Almraiven,Tashluta,Chult-Tashalar Coastal Run,sea,sea,Deep-water galleon,False,False,428.736119,400000,71.8,5.97,2528.32,0.029
LEG-000024,Almraiven,Tulmon,Almraiven to western Lake of Steam trail,trail,trail,Pack pony string,False,False,181.449817,1200,14.0,12.99,23.05,0.212
LEG-000024,Almraiven,Tulmon,Almraiven to western Lake of Steam trail,trail,trail,Mule train,False,False,181.449817,2400,13.3,13.64,43.67,0.201
LEG-000024,Almraiven,Tulmon,Almraiven to western Lake of Steam trail,trail,trail,Porter company,False,False,181.449817,1000,10.4,17.49,24.26,0.267
LEG-000025,Almraiven,Urbreth,Sea of Swords coasting run,sea,sea,Coasting cog,False,False,188.159294,100000,60.2,3.13,385.03,0.041
LEG-000025,Almraiven,Urbreth,Sea of Swords coasting run,sea,sea,Merchant caravel,False,False,188.159294,180000,71.8,2.62,641.72,0.038
LEG-000025,Almraiven,Urbreth,Sea of Swords coasting run,sea,sea,Deep-water galleon,False,False,188.159294,400000,65.0,2.9,1226.4,0.033
LEG-000026,Amphail,Daggerford,caravan track,track,track,Camel caravan,True,False,162.419334,3000,14.5,11.21,54.5,0.224
LEG-000026,Amphail,Daggerford,caravan track,track,track,Mule caravan,True,False,162.419334,2400,12.6,12.89,48.45,0.249
LEG-000026,Amphail,Daggerford,caravan track,track,track,Ox caravan,True,False,162.419334,5000,8.8,18.41,82.76,0.204
LEG-000027,Amphail,Goldenfields,Long Road: Mirabar to Waterdeep,road,road,Ox freight wagon,False,False,51.264303,6000,14.7,3.49,17.8,0.116
LEG-000027,Amphail,Goldenfields,Long Road: Mirabar to Waterdeep,road,road,Horse freight wagon,False,False,51.264303,4000,20.4,2.51,14.47,0.141
LEG-000027,Amphail,Goldenfields,Long Road: Mirabar to Waterdeep,road,road,Mule cart,False,False,51.264303,2000,18.4,2.79,6.37,0.124
LEG-000028,Amphail,Phandalin,caravan track,track,track,Camel caravan,True,False,102.858058,3000,14.5,7.1,34.52,0.224
LEG-000028,Amphail,Phandalin,caravan track,track,track,Mule caravan,True,False,102.858058,2400,12.6,8.16,30.68,0.249
LEG-000028,Amphail,Phandalin,caravan track,track,track,Ox caravan,True,False,102.858058,5000,8.8,11.66,52.41,0.204
LEG-000029,Amphail,Red Larch,The Long Road,road,road,Ox freight wagon,False,False,47.614476,6000,19.0,2.5,12.78,0.089
LEG-000029,Amphail,Red Larch,The Long Road,road,road,Horse freight wagon,False,False,47.614476,4000,26.4,1.8,10.39,0.109
LEG-000029,Amphail,Red Larch,The Long Road,road,road,Mule cart,False,False,47.614476,2000,23.8,2.0,4.57,0.096
LEG-000030,Amphail,Stone Bridge,Red Larch and Goldenfields branch toward Secomber,trail,trail,Pack pony string,False,False,106.958474,1200,14.0,7.66,13.59,0.212
LEG-000030,Amphail,Stone Bridge,Red Larch and Goldenfields branch toward Secomber,trail,trail,Mule train,False,False,106.958474,2400,13.3,8.04,25.74,0.201
LEG-000030,Amphail,Stone Bridge,Red Larch and Goldenfields branch toward Secomber,trail,trail,Porter company,False,False,106.958474,1000,10.4,10.31,14.3,0.267
LEG-000031,Amphail,Triboar,caravan track,track,track,Camel caravan,True,False,78.440105,3000,17.6,4.46,21.68,0.184
LEG-000031,Amphail,Triboar,caravan track,track,track,Mule caravan,True,False,78.440105,2400,15.3,5.13,19.27,0.205
LEG-000031,Amphail,Triboar,caravan track,track,track,Ox caravan,True,False,78.440105,5000,10.7,7.32,32.92,0.168
LEG-000032,Amphail,Waterdeep,The Long Road,road,road,Ox freight wagon,False,False,89.657842,6000,19.0,4.72,24.06,0.089
LEG-000032,Amphail,Waterdeep,The Long Road,road,road,Horse freight wagon,False,False,89.657842,4000,26.4,3.4,19.56,0.109
LEG-000032,Amphail,Waterdeep,The Long Road,road,road,Mule cart,False,False,89.657842,2000,23.8,3.77,8.61,0.096
LEG-000033,Amphail,Yartar,caravan track,track,track,Camel caravan,True,False,137.372632,3000,17.6,7.81,37.96,0.184
LEG-000033,Amphail,Yartar,caravan track,track,track,Mule caravan,True,False,137.372632,2400,15.3,8.98,33.75,0.205
LEG-000033,Amphail,Yartar,caravan track,track,track,Ox caravan,True,False,137.372632,5000,10.7,12.83,57.65,0.168
LEG-000034,Amruthar,Nethjet,Nethjet through Amruthar to Pyarados,road,road,Ox freight wagon,False,False,115.034766,6000,14.7,7.83,39.95,0.116
LEG-000034,Amruthar,Nethjet,Nethjet through Amruthar to Pyarados,road,road,Horse freight wagon,False,False,115.034766,4000,20.4,5.64,32.48,0.141
LEG-000034,Amruthar,Nethjet,Nethjet through Amruthar to Pyarados,road,road,Mule cart,False,False,115.034766,2000,18.4,6.27,14.29,0.124
LEG-000035,Amruthar,Tyraturos,Nethjet through Amruthar to Pyarados,road,road,Ox freight wagon,False,False,93.269248,6000,14.7,6.35,32.39,0.116
LEG-000035,Amruthar,Tyraturos,Nethjet through Amruthar to Pyarados,road,road,Horse freight wagon,False,False,93.269248,4000,20.4,4.57,26.33,0.141
LEG-000035,Amruthar,Tyraturos,Nethjet through Amruthar to Pyarados,road,road,Mule cart,False,False,93.269248,2000,18.4,5.08,11.59,0.124
LEG-000036,Anchoril,Port Nyanzaru,local market ferry,ferry,ferry,Cargo ferry,True,False,233.690607,30000,17.6,13.32,430.35,0.123
LEG-000036,Anchoril,Port Nyanzaru,local market ferry,ferry,ferry,Fast packet,True,False,233.690607,8000,24.4,9.59,157.04,0.168
LEG-000037,Ankhapur,Dalelost,Ankhapur to Yhep trail,trail,trail,Pack pony string,False,False,177.082409,1200,14.0,12.68,22.49,0.212
LEG-000037,Ankhapur,Dalelost,Ankhapur to Yhep trail,trail,trail,Mule train,False,False,177.082409,2400,13.3,13.31,42.62,0.201
LEG-000037,Ankhapur,Dalelost,Ankhapur to Yhep trail,trail,trail,Porter company,False,False,177.082409,1000,10.4,17.07,23.68,0.267
LEG-000038,Ankhapur,Kagarr,Ankhapur to Kagarr trail,trail,trail,Pack pony string,False,False,284.453312,1200,14.0,20.37,36.13,0.212
LEG-000038,Ankhapur,Kagarr,Ankhapur to Kagarr trail,trail,trail,Mule train,False,False,284.453312,2400,13.3,21.39,68.46,0.201
LEG-000038,Ankhapur,Kagarr,Ankhapur to Kagarr trail,trail,trail,Porter company,False,False,284.453312,1000,10.4,27.42,38.04,0.267
LEG-000039,Ankhapur,Saelmur,Saradush through Mintar to Ankhapur,trail,trail,Pack pony string,False,False,139.154468,1200,14.0,9.96,17.68,0.212
LEG-000039,Ankhapur,Saelmur,Saradush through Mintar to Ankhapur,trail,trail,Mule train,False,False,139.154468,2400,13.3,10.46,33.49,0.201
LEG-000039,Ankhapur,Saelmur,Saradush through Mintar to Ankhapur,trail,trail,Porter company,False,False,139.154468,1000,10.4,13.41,18.61,0.267
LEG-000040,Arabel,Highmoon,Arabel via Highmoon road to Ordulin,road,road,Ox freight wagon,False,False,212.794704,6000,14.7,14.49,73.9,0.116
LEG-000040,Arabel,Highmoon,Arabel via Highmoon road to Ordulin,road,road,Horse freight wagon,False,False,212.794704,4000,20.4,10.43,60.08,0.141
LEG-000040,Arabel,Highmoon,Arabel via Highmoon road to Ordulin,road,road,Mule cart,False,False,212.794704,2000,18.4,11.59,26.44,0.124
LEG-000041,Arabel,Marsember,Arabel to Suzail,road,road,Ox freight wagon,False,False,109.856979,6000,14.7,7.48,38.15,0.116
LEG-000041,Arabel,Marsember,Arabel to Suzail,road,road,Horse freight wagon,False,False,109.856979,4000,20.4,5.39,31.02,0.141
LEG-000041,Arabel,Marsember,Arabel to Suzail,road,road,Mule cart,False,False,109.856979,2000,18.4,5.98,13.65,0.124
LEG-000042,Arabel,Proskur,Proskur through the western Cormyr road junction to Arabel,road,road,Ox freight wagon,False,False,348.522751,6000,14.7,23.73,121.04,0.116
LEG-000042,Arabel,Proskur,Proskur through the western Cormyr road junction to Arabel,road,road,Horse freight wagon,False,False,348.522751,4000,20.4,17.08,98.41,0.141
LEG-000042,Arabel,Proskur,Proskur through the western Cormyr road junction to Arabel,road,road,Mule cart,False,False,348.522751,2000,18.4,18.98,43.3,0.124
LEG-000043,Arabel,Suzail,The Calantar's Way,road,road,Ox freight wagon,False,False,115.454646,6000,22.5,5.14,26.22,0.076
LEG-000043,Arabel,Suzail,The Calantar's Way,road,road,Horse freight wagon,False,False,115.454646,4000,31.2,3.7,21.31,0.092
LEG-000043,Arabel,Suzail,The Calantar's Way,road,road,Mule cart,False,False,115.454646,2000,28.1,4.11,9.38,0.081
LEG-000044,Arabel,Tilverton,The Moonsea Ride,road,road,Ox freight wagon,False,False,102.255027,6000,18.1,5.64,28.75,0.094
LEG-000044,Arabel,Tilverton,The Moonsea Ride,road,road,Horse freight wagon,False,False,102.255027,4000,25.2,4.06,23.37,0.114
LEG-000044,Arabel,Tilverton,The Moonsea Ride,road,road,Mule cart,False,False,102.255027,2000,22.7,4.51,10.28,0.101
LEG-000045,Arabel,Wheloon,caravan track,track,track,Camel caravan,True,False,201.945438,3000,17.6,11.48,55.81,0.184
LEG-000045,Arabel,Wheloon,caravan track,track,track,Mule caravan,True,False,201.945438,2400,15.3,13.2,49.61,0.205
LEG-000045,Arabel,Wheloon,caravan track,track,track,Ox caravan,True,False,201.945438,5000,10.7,18.86,84.75,0.168
LEG-000046,Archenbridge,Ashabenford,The Way of the Manticore,road,road,Ox freight wagon,False,False,204.2,6000,17.3,11.82,60.28,0.098
LEG-000046,Archenbridge,Ashabenford,The Way of the Manticore,road,road,Horse freight wagon,False,False,204.2,4000,24.0,8.51,49.01,0.12
LEG-000046,Archenbridge,Ashabenford,The Way of the Manticore,road,road,Mule cart,False,False,204.2,2000,21.6,9.45,21.56,0.106
LEG-000047,Archenbridge,Highmoon,Arabel via Highmoon road to Ordulin,road,road,Ox freight wagon,False,False,92.145448,6000,14.7,6.27,32.0,0.116
LEG-000047,Archenbridge,Highmoon,Arabel via Highmoon road to Ordulin,road,road,Horse freight wagon,False,False,92.145448,4000,20.4,4.52,26.02,0.141
LEG-000047,Archenbridge,Highmoon,Arabel via Highmoon road to Ordulin,road,road,Mule cart,False,False,92.145448,2000,18.4,5.02,11.45,0.124
LEG-000048,Archenbridge,Ordulin,Arabel via Highmoon road to Ordulin,road,road,Ox freight wagon,False,False,176.957521,6000,14.7,12.05,61.46,0.116
LEG-000048,Archenbridge,Ordulin,Arabel via Highmoon road to Ordulin,road,road,Horse freight wagon,False,False,176.957521,4000,20.4,8.67,49.96,0.141
LEG-000048,Archenbridge,Ordulin,Arabel via Highmoon road to Ordulin,road,road,Mule cart,False,False,176.957521,2000,18.4,9.64,21.98,0.124
LEG-000049,Archenbridge,Saerloon,caravan track,track,track,Camel caravan,True,False,90.217349,3000,14.5,6.23,30.27,0.224
LEG-000049,Archenbridge,Saerloon,caravan track,track,track,Mule caravan,True,False,90.217349,2400,12.6,7.16,26.91,0.249
LEG-000049,Archenbridge,Saerloon,caravan track,track,track,Ox caravan,True,False,90.217349,5000,8.8,10.23,45.97,0.204
LEG-000050,Archenbridge,Selgaunt,caravan track,track,track,Camel caravan,True,False,114.590794,3000,14.5,7.91,38.45,0.224
LEG-000050,Archenbridge,Selgaunt,caravan track,track,track,Mule caravan,True,False,114.590794,2400,12.6,9.09,34.18,0.249
LEG-000050,Archenbridge,Selgaunt,caravan track,track,track,Ox caravan,True,False,114.590794,5000,8.8,12.99,58.39,0.204
LEG-000051,Archenbridge,Urmlaspyr,caravan track,track,track,Camel caravan,True,False,131.360915,3000,14.5,9.07,44.08,0.224
LEG-000051,Archenbridge,Urmlaspyr,caravan track,track,track,Mule caravan,True,False,131.360915,2400,12.6,10.43,39.18,0.249
LEG-000051,Archenbridge,Urmlaspyr,caravan track,track,track,Ox caravan,True,False,131.360915,5000,8.8,14.89,66.94,0.204
LEG-000052,Archenbridge,Wheloon,The Way of the Manticore,road,road,Ox freight wagon,False,False,63.630496,6000,17.3,3.68,18.78,0.098
LEG-000052,Archenbridge,Wheloon,The Way of the Manticore,road,road,Horse freight wagon,False,False,63.630496,4000,24.0,2.65,15.27,0.12
LEG-000052,Archenbridge,Wheloon,The Way of the Manticore,road,road,Mule cart,False,False,63.630496,2000,21.6,2.95,6.72,0.106
LEG-000053,Arrabar,Airspur,The Vilhon Passage,sea,sea,Coasting cog,False,False,478.272266,100000,66.5,7.19,885.49,0.037
LEG-000053,Arrabar,Airspur,The Vilhon Passage,sea,sea,Merchant caravel,False,False,478.272266,180000,79.4,6.03,1475.81,0.034
LEG-000053,Arrabar,Airspur,The Vilhon Passage,sea,sea,Deep-water galleon,False,False,478.272266,400000,71.8,6.66,2820.44,0.029
LEG-000054,Arrabar,Alaghôn,The Vilhon Passage,sea,sea,Coasting cog,False,False,327.863203,100000,66.5,4.93,607.02,0.037
LEG-000054,Arrabar,Alaghôn,The Vilhon Passage,sea,sea,Merchant caravel,False,False,327.863203,180000,79.4,4.13,1011.69,0.034
LEG-000054,Arrabar,Alaghôn,The Vilhon Passage,sea,sea,Deep-water galleon,False,False,327.863203,400000,71.8,4.57,1933.46,0.029
LEG-000055,Arrabar,Fort Arran,The Vilhon Road,road,road,Vilhon Reach Milk Run,False,False,41.743959,6000,14.7,2.84,14.5,0.116
LEG-000055,Arrabar,Fort Arran,The Vilhon Road,road,road,Horse freight wagon,False,False,41.743959,4000,20.4,2.05,11.79,0.141
LEG-000055,Arrabar,Fort Arran,The Vilhon Road,road,road,Mule cart,False,False,41.743959,2000,18.4,2.27,5.19,0.124
LEG-000056,Arrabar,Hlath,The Vilhon Road,road,road,Vilhon Reach Milk Run,False,False,395.942639,6000,17.3,22.91,116.88,0.098
LEG-000056,Arrabar,Hlath,The Vilhon Road,road,road,Horse freight wagon,False,False,395.942639,4000,24.0,16.5,95.03,0.12
LEG-000056,Arrabar,Hlath,The Vilhon Road,road,road,Mule cart,False,False,395.942639,2000,21.6,18.33,41.81,0.106
LEG-000057,Arrabar,Mimph,The Vilhon Road,road,road,Vilhon Reach Milk Run,False,False,24.285181,6000,14.7,1.65,8.43,0.116
LEG-000057,Arrabar,Mimph,The Vilhon Road,road,road,Horse freight wagon,False,False,24.285181,4000,20.4,1.19,6.86,0.141
LEG-000057,Arrabar,Mimph,The Vilhon Road,road,road,Mule cart,False,False,24.285181,2000,18.4,1.32,3.02,0.124
LEG-000058,Arrabar,Ormpetarr,The Vilhon Road,road,road,Vilhon Reach Milk Run,False,False,87.73212,6000,17.3,5.08,25.9,0.098
LEG-000058,Arrabar,Ormpetarr,The Vilhon Road,road,road,Horse freight wagon,False,False,87.73212,4000,24.0,3.66,21.06,0.12
LEG-000058,Arrabar,Ormpetarr,The Vilhon Road,road,road,Mule cart,False,False,87.73212,2000,21.6,4.06,9.26,0.106
LEG-000059,Arrabar,Surkh,local market trail,trail,trail,Pack pony string,True,False,291.225565,1200,13.0,22.46,39.84,0.228
LEG-000059,Arrabar,Surkh,local market trail,trail,trail,Mule train,True,False,291.225565,2400,12.3,23.58,75.49,0.216
LEG-000059,Arrabar,Surkh,local market trail,trail,trail,Porter company,True,False,291.225565,1000,9.6,30.23,41.94,0.288
LEG-000060,Arrabar,Urmlaspyr,Sea of Fallen Stars coasting run,sea,sea,Coasting cog,False,False,555.608648,100000,60.2,9.23,1136.95,0.041
LEG-000060,Arrabar,Urmlaspyr,Sea of Fallen Stars coasting run,sea,sea,Merchant caravel,False,False,555.608648,180000,71.8,7.74,1894.92,0.038
LEG-000060,Arrabar,Urmlaspyr,Sea of Fallen Stars coasting run,sea,sea,Deep-water galleon,False,False,555.608648,400000,65.0,8.55,3621.4,0.033
LEG-000061,Arrabar,Westgate,Sea of Fallen Stars coasting run,sea,sea,Coasting cog,False,False,540.750959,100000,60.2,8.98,1106.55,0.041
LEG-000061,Arrabar,Westgate,Sea of Fallen Stars coasting run,sea,sea,Merchant caravel,False,False,540.750959,180000,71.8,7.53,1844.25,0.038
LEG-000061,Arrabar,Westgate,Sea of Fallen Stars coasting run,sea,sea,Deep-water galleon,False,False,540.750959,400000,65.0,8.32,3524.56,0.033
LEG-000062,Asbravn,Easting,Scornubel through Asbravn toward Iriaebor,trail,trail,Pack pony string,False,False,102.34558,1200,14.0,7.33,13.0,0.212
LEG-000062,Asbravn,Easting,Scornubel through Asbravn toward Iriaebor,trail,trail,Mule train,False,False,102.34558,2400,13.3,7.7,24.63,0.201
LEG-000062,Asbravn,Easting,Scornubel through Asbravn toward Iriaebor,trail,trail,Porter company,False,False,102.34558,1000,10.4,9.87,13.69,0.267
LEG-000063,Asbravn,Hluthvar,Scornubel through Asbravn toward Iriaebor,trail,trail,Pack pony string,False,False,93.156021,1200,14.0,6.67,11.83,0.212
LEG-000063,Asbravn,Hluthvar,Scornubel through Asbravn toward Iriaebor,trail,trail,Mule train,False,False,93.156021,2400,13.3,7.0,22.42,0.201
LEG-000063,Asbravn,Hluthvar,Scornubel through Asbravn toward Iriaebor,trail,trail,Porter company,False,False,93.156021,1000,10.4,8.98,12.46,0.267
LEG-000064,Asbravn,Iriaebor,Iriaebor to Proskur,road,road,Ox freight wagon,False,False,58.539986,6000,14.7,3.99,20.33,0.116
LEG-000064,Asbravn,Iriaebor,Iriaebor to Proskur,road,road,Horse freight wagon,False,False,58.539986,4000,20.4,2.87,16.53,0.141
LEG-000064,Asbravn,Iriaebor,Iriaebor to Proskur,road,road,Mule cart,False,False,58.539986,2000,18.4,3.19,7.27,0.124
LEG-000065,Ascore,Hlaungadath,Sundabar to Ascore,road,road,Ox freight wagon,False,False,47.46051,6000,14.7,3.23,16.48,0.116
