leg_id,origin_id,origin,destination_id,destination,connection,mode,mode_label,mixed_mode,inferred,distance_miles,quality,effective_speed_miles_per_day,travel_days,risk_premium,freight_gp_per_100_lb,freight_gp_per_2000_lb
LEG-000048,archenbridge,Archenbridge,ordulin,Ordulin,Arabel via Highmoon road to Ordulin,road,road,False,False,176.957521,0.85,20.4,8.674388,0.15,1.436479,28.729574
LEG-000049,archenbridge,Archenbridge,saerloon,Saerloon,caravan track,track,wilderness track,False,True,90.217349,0.7,12.6,7.160107,0.252,1.403833,28.07667
LEG-000050,archenbridge,Archenbridge,selgaunt,Selgaunt,caravan track,track,wilderness track,False,True,114.590794,0.7,12.6,9.094507,0.231,1.75319,35.063801
LEG-000051,archenbridge,Archenbridge,urmlaspyr,Urmlaspyr,caravan track,track,wilderness track,False,True,131.360915,0.7,12.6,10.425469,0.252,2.044051,40.881018
LEG-000052,archenbridge,Archenbridge,wheloon,Wheloon,The Way of the Manticore,road,road,False,False,63.630496,1.0,24.0,2.651271,0.21,0.461957,9.239148
LEG-000053,arrabar,Arrabar,airspur,Airspur,The Vilhon Passage,sea,sea lane,False,False,478.272266,1.05,75.6,6.326353,0.1755,0.963787,19.275739
LEG-000054,arrabar,Arrabar,alaghon,Alaghôn,The Vilhon Passage,sea,sea lane,False,False,327.863203,1.05,75.6,4.336815,0.1485,0.645516,12.910316
LEG-000055,arrabar,Arrabar,fort_arran,Fort Arran,The Vilhon Road,road,road,False,False,41.743959,0.85,20.4,2.046272,0.18,0.347703,6.954052
LEG-000056,arrabar,Arrabar,hlath,Hlath,The Vilhon Road,road,road,False,False,395.942639,1.0,24.0,16.49761,0.195,2.838909,56.778174
LEG-000057,arrabar,Arrabar,mimph,Mimph,The Vilhon Road,road,road,False,False,24.285181,0.85,20.4,1.19045,0.18,0.202281,4.045625
LEG-000058,arrabar,Arrabar,ormpetarr,Ormpetarr,The Vilhon Road,road,road,False,False,87.73212,1.0,24.0,3.655505,0.18,0.621143,12.422868
LEG-000059,arrabar,Arrabar,surkh,Surkh,local market trail,trail,trail,False,True,291.225565,0.65,12.35,23.581017,0.234,4.312468,86.249363
LEG-000060,arrabar,Arrabar,urmlaspyr,Urmlaspyr,Sea of Fallen Stars coasting run,sea,sea lane,False,False,555.608648,0.95,68.4,8.122933,0.162,1.223275,24.465496
LEG-000061,arrabar,Arrabar,westgate,Westgate,Sea of Fallen Stars coasting run,sea,sea lane,False,False,540.750959,0.95,68.4,7.905716,0.2565,1.287386,25.747715
LEG-000062,asbravn,Asbravn,easting,Easting,Scornubel through Asbravn toward Iriaebor,trail,trail,False,False,102.34558,0.7,13.3,7.695156,0.234,1.407281,28.145619
LEG-000063,asbravn,Asbravn,hluthvar,Hluthvar,Scornubel through Asbravn toward Iriaebor,trail,trail,False,False,93.156021,0.7,13.3,7.004212,0.312,1.361888,27.237756
LEG-000064,asbravn,Asbravn,iriaebor,Iriaebor,Iriaebor to Proskur,road,road,False,False,58.539986,0.85,20.4,2.869607,0.18,0.487604,9.752073
LEG-000065,ascore,Ascore,hlaungadath,Hlaungadath,Sundabar to Ascore,road,road,False,False,47.46051,0.85,20.4,2.326496,0.03,0.345066,6.901316
LEG-000066,ascore,Ascore,sundabar,Sundabar,Sundabar to Ascore,road,road,False,False,195.022842,0.85,20.4,9.559943,0.06,1.45923,29.184595
LEG-000067,ashabenford,Ashabenford,archenbridge,Archenbridge,The Way of the Manticore,road,road,False,False,204.2,1.0,24.0,8.508333,0.195,1.464114,29.28228
LEG-000068,ashabenford,Ashabenford,essembra,Essembra,The Way of the Manticore,road,road,False,False,61.06446,1.0,24.0,2.544352,0.225,0.448824,8.976476
LEG-000069,ashabenford,Ashabenford,harrowdale_town,Harrowdale Town,Moonsea Ride junction via Essembra to Scardale,road,road,False,False,212.113854,0.85,20.4,10.397738,0.195,1.789243,35.784855
LEG-000070,ashabenford,Ashabenford,highmoon,Highmoon,caravan track,track,wilderness track,False,True,149.040162,0.85,15.3,9.741187,0.273,1.941923,38.838464
LEG-000071,ashabenford,Ashabenford,myth_drannor,Myth Drannor,caravan track,track,wilderness track,False,True,72.180468,0.85,15.3,4.717678,0.231,0.909448,18.188968
LEG-000072,ashabenford,Ashabenford,shadowdale,Shadowdale,The Dalelands Trail,trail,trail,False,False,105.900944,0.9,17.1,6.193038,0.273,1.16837,23.367396
LEG-000073,ashabenford,Ashabenford,tilverton,Tilverton,Tilverton via Ashabenford junction to Hillsfar,road,road,False,False,250.799597,0.85,20.4,12.294098,0.21,2.142124,42.842472
LEG-000074,assam,Assam,nathlekh,Nathlekh,Ormath through Assam to Nathlekh,trail,trail,False,False,99.563345,0.7,13.3,7.485966,0.39,1.542094,30.84188
LEG-000075,assam,Assam,ormath,Ormath,Ormath through Assam to Nathlekh,trail,trail,False,False,108.56811,0.7,13.3,8.163016,0.39,1.681565,33.631299
LEG-000076,assur,Assur,chavyondat,Chavyondat,Ormpе through Vaelan and Assur toward Shoun,trail,trail,False,False,277.2681,0.7,13.3,20.847226,0.156,3.57153,71.4306
LEG-000077,assur,Assur,vaelan,Vaelan,Ormpе through Vaelan and Assur toward Shoun,trail,trail,False,False,36.925168,0.7,13.3,2.776328,0.156,0.475638,9.512767
LEG-000078,athkatla,Athkatla,baldur_s_gate,Baldur's Gate,The Sword Coast Run,sea,sea lane,False,False,302.203193,1.2,86.4,3.497722,0.162,0.52674,10.534803
LEG-000079,athkatla,Athkatla,beregost,Beregost,caravan track,track,wilderness track,False,True,160.997205,0.7,12.6,12.777556,0.294,2.589249,51.784981
LEG-000080,athkatla,Athkatla,candlekeep,Candlekeep,Sea of Swords coasting run,sea,sea lane,False,False,168.496795,0.95,68.4,2.463403,0.0945,0.349427,6.988538
LEG-000081,athkatla,Athkatla,crimmor,Crimmor,The Amnian Coast Road,road,road,False,False,75.60159,1.1,26.4,2.863697,0.165,0.480414,9.608275
LEG-000082,athkatla,Athkatla,esmeltaran,Esmeltaran,caravan track,track,wilderness track,False,True,243.027262,0.85,15.3,15.884135,0.231,3.062058,61.241154
LEG-000083,athkatla,Athkatla,murann,Murann,The Sword Coast Run,sea,sea lane,False,False,158.814766,1.2,86.4,1.838134,0.216,0.289678,5.793563
LEG-000084,athkatla,Athkatla,nashkel,Nashkel,The Trade Way,road,road,False,False,118.526157,1.3,31.2,3.798915,0.225,0.670129,13.402573
LEG-000085,athkatla,Athkatla,purskul,Purskul,Athkatla to Crimmor,road,road,False,False,88.813396,0.85,20.4,4.353598,0.18,0.739763,14.795267
LEG-000086,athkatla,Athkatla,velen,Velen,Sea of Swords coasting run,sea,sea lane,False,False,256.062649,0.95,68.4,3.743606,0.2025,0.583419,11.668371
LEG-000087,athkatla,Athkatla,zazesspur,Zazesspur,The Trade Way,road,road,False,False,366.46506,1.3,31.2,11.745675,0.21,2.046566,40.931328
LEG-000088,baldur_s_gate,Baldur's Gate,athkatla,Athkatla,The Sword Coast Run,sea,sea lane,False,False,302.203193,1.2,86.4,3.497722,0.162,0.52674,10.534803
LEG-000089,baldur_s_gate,Baldur's Gate,beregost,Beregost,The Trade Way,road,road,False,False,142.20407,1.3,31.2,4.557823,0.21,0.794155,15.883101
LEG-000090,baldur_s_gate,Baldur's Gate,boareskyr_bridge,Boareskyr Bridge,Trade Way: Daggerford junction to Baldur's Gate,road,road,False,False,203.087698,0.85,20.4,9.955279,0.27,1.820621,36.41243
LEG-000091,baldur_s_gate,Baldur's Gate,caer_corwell,Caer Corwell,The Moonshae Crossing,sea+ferry,sea lane and ferry,True,False,556.733419,0.95,35.407059,15.723797,0.2124,2.515202,50.304041
LEG-000092,baldur_s_gate,Baldur's Gate,candlekeep,Candlekeep,Sea of Swords coasting run,sea,sea lane,False,False,142.182418,0.95,68.4,2.07869,0.0945,0.294856,5.897128
LEG-000093,baldur_s_gate,Baldur's Gate,daggerford,Daggerford,The Trade Way,road,road,False,False,515.981982,1.3,31.2,16.537884,0.195,2.845839,56.916782
LEG-000094,baldur_s_gate,Baldur's Gate,elturel,Elturel,The Chionthar,river+barge,river and barge,True,False,210.779174,1.2,34.785882,6.059331,0.1365,0.706674,14.133481
LEG-000095,baldur_s_gate,Baldur's Gate,mintarn,Mintarn,The Nelanther Passage,sea,sea lane,False,False,310.809138,1.0,72.0,4.316794,0.216,0.680299,13.605981
LEG-000096,baldur_s_gate,Baldur's Gate,orlumbor,Orlumbor,Sea of Swords coasting run,sea,sea lane,False,False,203.807802,0.95,68.4,2.979646,0.189,0.459147,9.182936
LEG-000097,baldur_s_gate,Baldur's Gate,soubar,Soubar,The Dusk Road,road,road,False,False,212.952295,0.85,20.4,10.438838,0.285,1.931603,38.632052
LEG-000098,baldur_s_gate,Baldur's Gate,waterdeep,Waterdeep,The Sword Coast Run,sea,sea lane,False,False,466.667955,1.2,86.4,5.401249,0.1215,0.785052,15.701043
LEG-000099,bell_in_the_deep,Bell in the Deep,thentia,Thentia,local market trail,trail,trail,False,True,54.007499,0.65,12.35,4.373077,0.312,0.850294,17.005881
LEG-000100,beluir,Beluir,chethel,Chethel,Delzimmer to Beluir road,road,road,False,False,57.427868,0.85,20.4,2.815092,0.12,0.454018,9.080359
LEG-000101,berdusk,Berdusk,easting,Easting,Iriaebor to Eshpurta trail,trail,trail,False,False,115.069539,0.7,13.3,8.651845,0.1755,1.50723,30.144603
LEG-000102,berdusk,Berdusk,elturel,Elturel,caravan track,track,wilderness track,False,True,165.013363,0.85,15.3,10.785187,0.147,1.937237,38.744749
LEG-000103,berdusk,Berdusk,eshpurta,Eshpurta,Iriaebor to Eshpurta trail,trail,trail,False,False,280.658088,0.7,13.3,21.102112,0.156,3.615197,72.303939
LEG-000104,berdusk,Berdusk,greenest,Greenest,Uldoon Trail from Nashkel toward Greenest and Berdusk,trail,trail,False,False,99.895237,0.7,13.3,7.51092,0.117,1.243353,24.867064
LEG-000105,berdusk,Berdusk,hill_s_edge,Hill's Edge,The Chionthar Road,road,road,False,False,171.586596,1.15,27.6,6.216906,0.195,1.069805,21.396103
LEG-000106,berdusk,Berdusk,iriaebor,Iriaebor,The Chionthar Road,road,road,False,False,70.998944,1.15,27.6,2.572425,0.135,0.420437,8.408744
LEG-000107,berdusk,Berdusk,scornubel,Scornubel,The Chionthar,river+barge,river and barge,True,False,110.851838,1.2,34.785882,3.18669,0.1365,0.37165,7.433004
LEG-000108,berdusk,Berdusk,triel,Triel,caravan track,track,wilderness track,False,True,150.332964,0.85,15.3,9.825684,0.273,1.958768,39.175355
LEG-000109,beregost,Beregost,athkatla,Athkatla,caravan track,track,wilderness track,False,True,160.997205,0.7,12.6,12.777556,0.294,2.589249,51.784981
LEG-000110,beregost,Beregost,baldur_s_gate,Baldur's Gate,The Trade Way,road,road,False,False,142.20407,1.3,31.2,4.557823,0.21,0.794155,15.883101
LEG-000111,beregost,Beregost,candlekeep,Candlekeep,The Coast Way,road,road,False,False,41.776668,1.05,25.2,1.657804,0.135,0.270952,5.419031
LEG-000112,beregost,Beregost,nashkel,Nashkel,The Trade Way,road,road,False,False,101.783918,1.3,31.2,3.262305,0.255,0.589564,11.791275
LEG-000113,bezantur,Bezantur,cimbar,Cimbar,Sea of Fallen Stars coasting run,sea,sea lane,False,False,512.89769,0.95,68.4,7.498504,0.2025,1.168597,23.371938
LEG-000114,bezantur,Bezantur,eltabbar,Eltabbar,caravan track,track,wilderness track,False,True,231.097079,0.85,15.3,15.104384,0.357,3.209775,64.195506
LEG-000115,bezantur,Bezantur,escalant,Escalant,local market trail,trail,trail,False,True,201.740849,0.65,12.35,16.335291,0.351,3.270623,65.412453
LEG-000116,bezantur,Bezantur,messemprar,Messemprar,The Vilhon Passage,sea,sea lane,False,False,243.46815,1.05,75.6,3.220478,0.27,0.530065,10.601299
LEG-000117,bezantur,Bezantur,telflamm,Telflamm,The Inner Sea Run,sea,sea lane,False,False,543.641095,1.2,86.4,6.292142,0.2295,1.00261,20.052202
LEG-000118,bezantur,Bezantur,tyraturos,Tyraturos,Eltabbar through Tyraturos to Bezantur,road,road,False,False,127.753373,0.85,20.4,6.26242,0.255,1.131745,22.634892
LEG-000119,bezantur,Bezantur,velprintalar,Velprintalar,The Inner Sea Run,sea,sea lane,False,False,450.346467,1.2,86.4,5.212343,0.162,0.784954,15.699078
LEG-000120,bezantur,Bezantur,winterkeep,Winterkeep,The Winterkeep-Bezantur Circle,teleport,teleportation circle,False,False,954.34007,0.95,4750.0,0.200914,0.051,50.678471,1013.569429
LEG-000121,bezentil,Bezentil,clymph_tower,Clymph Tower,Uthmere through the Great Dale to Kront,road,road,False,False,71.375004,0.85,20.4,3.498775,0.24,0.624741,12.494824
LEG-000122,bezentil,Bezentil,mauberg_s_oak,Mauberg's Oak,Uthmere through the Great Dale to Kront,road,road,False,False,217.189031,0.85,20.4,10.646521,0.24,1.901043,38.020856
LEG-000123,bildoobaris,Bildoobaris,jiyyd,Jiyyd,Narfell Long Road from Impiltur junction to N'Jast,trail,trail,False,False,117.899279,0.7,13.3,8.864607,0.312,1.72362,34.472402
LEG-000124,bildoobaris,Bildoobaris,n_jast,N'Jast,Narfell Long Road from Impiltur junction to N'Jast,trail,trail,False,False,35.537304,0.7,13.3,2.671978,0.312,0.519535,10.390702
LEG-000125,bildoobaris,Bildoobaris,nathoud,Nathoud,N'Jast to Nathoud,trail,trail,False,False,415.524131,0.7,13.3,31.242416,0.312,6.074725,121.494507
LEG-000126,blingdenstone,Blingdenstone,gracklstugh,Gracklstugh,Underdark passage,tunnel,Underdark tunnel,False,True,22.662965,0.85,10.2,2.221859,0.528,0.464436,9.288723
LEG-000127,blingdenstone,Blingdenstone,mantol_derith,Mantol-Derith,Underdark passage,tunnel,Underdark tunnel,False,True,31.228513,0.85,10.2,3.061619,0.627,0.681436,13.628711
LEG-000128,blingdenstone,Blingdenstone,menzoberranzan,Menzoberranzan,Underdark passage,tunnel,Underdark tunnel,False,True,17.854971,0.85,10.2,1.750487,0.594,0.38171,7.634198
LEG-000129,blingdenstone,Blingdenstone,silverymoon,Silverymoon,Blingdenstone Trail,tunnel+trail,Underdark tunnel and trail,True,True,113.009247,0.45,6.472258,17.46056,0.3186,3.751179,75.023579
LEG-000130,bloodstone_village,Bloodstone Village,darmshall,Darmshall,Ilinvur through Vaasa to Darmshall,trail,trail,False,False,59.194932,0.7,13.3,4.450747,0.429,0.942569,18.851387
LEG-000131,bloodstone_village,Bloodstone Village,talagbar,Talagbar,Ilinvur through Vaasa to Darmshall,trail,trail,False,False,108.278673,0.7,13.3,8.141254,0.429,1.724137,34.482736
LEG-000132,bloodstone_village,Bloodstone Village,valls,Valls,Darmshall through Bloodstone Pass to Valls,trail,trail,False,False,102.380622,0.7,13.3,7.697791,0.429,1.630221,32.604425
LEG-000133,boareskyr_bridge,Boareskyr Bridge,baldur_s_gate,Baldur's Gate,Trade Way: Daggerford junction to Baldur's Gate,road,road,False,False,203.087698,0.85,20.4,9.955279,0.27,1.820621,36.41243
LEG-000134,boareskyr_bridge,Boareskyr Bridge,dragonspear_castle,Dragonspear Castle,Trade Way: Daggerford junction to Baldur's Gate,road,road,False,False,200.259664,0.85,20.4,9.81665,0.36,1.922493,38.449856
LEG-000135,boareskyr_bridge,Boareskyr Bridge,elturel,Elturel,caravan track,track,wilderness track,False,True,113.488149,0.85,15.3,7.417526,0.336,1.551877,31.03754
LEG-000136,boareskyr_bridge,Boareskyr Bridge,scornubel,Scornubel,caravan track,track,wilderness track,False,True,165.870371,0.85,15.3,10.841201,0.399,2.375127,47.502542
LEG-000137,boareskyr_bridge,Boareskyr Bridge,soubar,Soubar,The Dusk Road,road,road,False,False,37.734296,0.85,20.4,1.84972,0.375,0.366245,7.324893
LEG-000138,boareskyr_bridge,Boareskyr Bridge,triel,Triel,The Dusk Road,road,road,False,False,123.172164,0.85,20.4,6.037851,0.33,1.156369,23.127385
LEG-000139,brost,Brost,imnescar,Imnescar,Murann to Brost,road,road,False,False,203.620092,0.85,20.4,9.981377,0.165,1.674476,33.489516
LEG-000140,brost,Brost,riatavin,Riatavin,Brost to Riatavin,road,road,False,False,301.246237,0.85,20.4,14.766972,0.165,2.477307,49.546146
LEG-000141,bryn_shander,Bryn Shander,easthaven,Easthaven,caravan track,track,wilderness track,False,True,32.415428,0.7,12.6,2.572653,0.378,0.555165,11.103303
LEG-000142,bryn_shander,Bryn Shander,good_mead,Good Mead,caravan track,track,wilderness track,False,True,28.651352,0.7,12.6,2.273917,0.399,0.498177,9.963549
LEG-000143,bryn_shander,Bryn Shander,lonelywood,Lonelywood,caravan track,track,wilderness track,False,True,29.873902,0.85,15.3,1.952543,0.399,0.42777,8.555393
LEG-000144,bryn_shander,Bryn Shander,luskan,Luskan,The Ten Trail,trail+ferry,trail and ferry,True,False,589.730523,0.55,11.260408,52.372038,0.5214,11.549617,230.992342
LEG-000145,bryn_shander,Bryn Shander,targos,Targos,The Ten Towns Track,trail,trail,False,False,20.05642,0.7,13.3,1.508002,0.351,0.301929,6.038587
LEG-000146,bryn_shander,Bryn Shander,termalaine,Termalaine,caravan track,track,wilderness track,False,True,20.2608,0.7,12.6,1.608,0.378,0.346998,6.939961
LEG-000147,caer_calidyrr,Caer Calidyrr,caer_corwell,Caer Corwell,Sea of Swords coasting run,sea,sea lane,False,False,247.449086,0.95,68.4,3.617677,0.1485,0.538475,10.769505
LEG-000148,caer_calidyrr,Caer Calidyrr,candlekeep,Candlekeep,Sea of Swords coasting run,sea,sea lane,False,False,426.377356,0.95,68.4,6.233587,0.081,0.873311,17.466212
LEG-000149,caer_calidyrr,Caer Calidyrr,iron_keep,Iron Keep,local market ferry,ferry,ferry,False,True,126.781229,0.65,19.5,6.501601,0.12,0.917506,18.35012
LEG-000150,caer_calidyrr,Caer Calidyrr,mintarn,Mintarn,Sea of Swords coasting run,sea,sea lane,False,False,158.20749,0.95,68.4,2.312975,0.2025,0.360463,7.209266
LEG-000151,caer_calidyrr,Caer Calidyrr,waterdeep,Waterdeep,The Moonshae Crossing,sea+ferry,sea lane and ferry,True,False,496.194085,0.95,35.407059,14.013988,0.1416,2.110791,42.215817
LEG-000152,caer_corwell,Caer Corwell,baldur_s_gate,Baldur's Gate,The Moonshae Crossing,sea+ferry,sea lane and ferry,True,False,556.733419,0.95,35.407059,15.723797,0.2124,2.515202,50.304041
LEG-000153,caer_corwell,Caer Corwell,caer_calidyrr,Caer Calidyrr,Sea of Swords coasting run,sea,sea lane,False,False,247.449086,0.95,68.4,3.617677,0.1485,0.538475,10.769505
LEG-000154,caer_corwell,Caer Corwell,lantan,Lantan,Sea of Swords coasting run,sea,sea lane,False,False,415.064344,0.95,68.4,6.068192,0.135,0.892607,17.852136
LEG-000155,caer_corwell,Caer Corwell,llewellyn,Llewellyn,local market ferry,ferry,ferry,False,True,120.546837,0.65,19.5,6.181889,0.144,0.891082,17.821644
LEG-000156,caer_corwell,Caer Corwell,mintarn,Mintarn,Sea of Swords coasting run,sea,sea lane,False,False,374.028475,0.95,68.4,5.468253,0.216,0.861762,17.235232
LEG-000157,caer_corwell,Caer Corwell,velen,Velen,Sea of Swords coasting run,sea,sea lane,False,False,344.124294,0.95,68.4,5.031057,0.2025,0.78406,15.681201
LEG-000158,calaunt,Calaunt,ylraphon,Ylraphon,Calaunt to Tantras and Ravens Bluff trail branches,trail,trail,False,False,48.711806,0.7,13.3,3.662542,0.156,0.627464,12.549275
LEG-000159,calimport,Calimport,almraiven,Almraiven,The Shining Sea Run,sea,sea lane,False,False,387.343943,1.0,72.0,5.379777,0.27,0.885468,17.709365
LEG-000160,calimport,Calimport,lantan,Lantan,Calimshan-Lantan Coastal Run,sea,sea lane,False,False,523.997595,1.05,75.6,6.931185,0.2025,1.080184,21.603672
